label,confidence,lat,lon,frame
pothole,0.3839605152606964,23.0225,72.5714,0
pothole,0.4215865731239319,23.022550000000003,72.57145,1
pothole,0.5365592241287231,23.0226,72.5715,2
pothole,0.5810076594352722,23.022650000000002,72.57155,3
pothole,0.6527231335639954,23.0227,72.5716,4
pothole,0.6932600736618042,23.022750000000002,72.57164999999999,5
pothole,0.4934774339199066,23.022750000000002,72.57164999999999,5
pothole,0.49145233631134033,23.022750000000002,72.57164999999999,5
pothole,0.3989097774028778,23.022750000000002,72.57164999999999,5
pothole,0.3530956208705902,23.022750000000002,72.57164999999999,5
pothole,0.7582981586456299,23.0228,72.57169999999999,6
pothole,0.5281309485435486,23.0228,72.57169999999999,6
pothole,0.4966106414794922,23.0228,72.57169999999999,6
pothole,0.4478638470172882,23.0228,72.57169999999999,6
pothole,0.34934744238853455,23.0228,72.57169999999999,6
pothole,0.7504354119300842,23.022850000000002,72.57175,7
pothole,0.5637143850326538,23.022850000000002,72.57175,7
pothole,0.5045838356018066,23.022850000000002,72.57175,7
pothole,0.4852672815322876,23.022850000000002,72.57175,7
pothole,0.3227839767932892,23.022850000000002,72.57175,7
pothole,0.735464870929718,23.0229,72.5718,8
pothole,0.5201326012611389,23.0229,72.5718,8
pothole,0.5096465945243835,23.0229,72.5718,8
pothole,0.42808058857917786,23.0229,72.5718,8
pothole,0.3682945668697357,23.0229,72.5718,8
pothole,0.7686355113983154,23.02295,72.57185,9
pothole,0.5265941619873047,23.02295,72.57185,9
pothole,0.46000197529792786,23.02295,72.57185,9
pothole,0.4099694490432739,23.02295,72.57185,9
pothole,0.3436446487903595,23.02295,72.57185,9
pothole,0.7373469471931458,23.023,72.5719,10
pothole,0.5632378458976746,23.023,72.5719,10
pothole,0.5507962107658386,23.023,72.5719,10
pothole,0.43873825669288635,23.023,72.5719,10
pothole,0.3513263463973999,23.023,72.5719,10
pothole,0.31308281421661377,23.023,72.5719,10
pothole,0.7510684132575989,23.02305,72.57195,11
pothole,0.5696569085121155,23.02305,72.57195,11
pothole,0.5598591566085815,23.02305,72.57195,11
pothole,0.39267340302467346,23.02305,72.57195,11
pothole,0.33613908290863037,23.02305,72.57195,11
pothole,0.7594395875930786,23.0231,72.572,12
pothole,0.5917115211486816,23.0231,72.572,12
pothole,0.4586746096611023,23.0231,72.572,12
pothole,0.4096294939517975,23.0231,72.572,12
pothole,0.3910866379737854,23.0231,72.572,12
pothole,0.38375774025917053,23.0231,72.572,12
pothole,0.7143738865852356,23.02315,72.57204999999999,13
pothole,0.5778634548187256,23.02315,72.57204999999999,13
pothole,0.47632503509521484,23.02315,72.57204999999999,13
pothole,0.44372954964637756,23.02315,72.57204999999999,13
pothole,0.43367546796798706,23.02315,72.57204999999999,13
pothole,0.6969523429870605,23.0232,72.57209999999999,14
pothole,0.5570152997970581,23.0232,72.57209999999999,14
pothole,0.554161787033081,23.0232,72.57209999999999,14
pothole,0.4684901237487793,23.0232,72.57209999999999,14
pothole,0.3483620285987854,23.0232,72.57209999999999,14
pothole,0.3036952316761017,23.0232,72.57209999999999,14
